author_name,number_authors_comments,rating,text,photo_attached,responses,number_of_responses,location_name,location_type,MISC,label
Richard Garcia,-1,5,By far the best company I have dealt with. Very professional and they made sure my clients carpet was spotless clean. Thank you Rainbow Inernational for going above and beyond what I expected.,No,No response available,0,Rainbow International Of Central El Paso,"['Water damage restoration service', 'Service establishment']",No MISC available,GOOD
Zack Howard,-1,5,Mike is very knowledgeable and a great business man. He answered all my questions quickly and accurately. As well as informed me of other AMSOIL products that I had no clue about. I will be using nothing but AMSOIL and Mike from now on. Highly Recommended!,No,"{'time': 1563249227448, 'text': 'Thanks Zach! Your VW and I appreciate you using our products.'}",1,Mike Cummings - Independent Dealer of AMSOIL® Synthetics,"['Oil wholesaler', 'Service establishment', 'Oil store']",No MISC available,GOOD
Rockstar Vuitton,-1,5,No text available,No,No response available,0,Rockstar Vuitton,"['Music producer', 'Service establishment', 'Music publisher']",{'From the business': ['Identifies as Black-owned']},GOOD
Cheryle Maurer,-1,5,Our Teeambuildding appointment was not successful.,No,No response available,0,Better Teams,"['Business to business service', 'Service establishment']","{'Service options': ['Online appointments'], 'Health & safety': ['Mask required']}",GOOD
Sosi Audain,-1,5,Eric is epic!  He taught music production to my eight year old daughter that landed her a front page story in the local paper plus a You Tube promo.  Go Eric.  Go!,No,"{'time': 1547089042920, 'text': 'Thank you Linz! It was great to teacher your  daughter and see her really delve into pro-quality music production. Please tell her I said hello!'}",1,Mix Major - Electronic Music School,"['Music school', 'Service establishment']",{'Service options': ['Online classes']},GOOD
Ardeshir Edward Nadimi,-1,5,I love Techno ,No,No response available,1,Mix Major - Electronic Music School,"['Music school', 'Service establishment']",{'Service options': ['Online classes']},IRRELEVANT
Geetha Selva,-1,1,Dropshipper with a large marketing budget and a website... Terrible service!,No,No response available,0,Homary,"['Furniture store', 'Service establishment']",No MISC available,GOOD
James Pirog,-1,5,"Mike is extremely helpful and excited about what he does. Couldn't be happier with the product (Amsoil OE 5W30) and have run it in pretty much all my vehicles, on and off-road. Highly recommend. Thanks again!",No,"{'time': 1599783216059, 'text': 'Thanks James! We have ran AMSOIL in a fewcof your vehicles now, glad to help keep them running at their best.'}",1,Mike Cummings - Independent Dealer of AMSOIL® Synthetics,"['Oil wholesaler', 'Service establishment', 'Oil store']",No MISC available,
Ellen Nastir,-1,5,Leigh-Ann is an incredibly creative facilitator and genuinely cares about those in her community. She offers her expertise freely and always shares ideas you can modify to fit the needs of your team. I enjoy her giving spirit and she is the real deal!,No,No response available,0,Better Teams,"['Business to business service', 'Service establishment']","{'Service options': ['Online appointments'], 'Health & safety': ['Mask required']}",
michele yazzie,-1,5,look at this cool website http://shop.com,No,No response available,0,Naknek Family Fisheries,"['Seafood wholesaler', 'Distribution service', 'Service establishment', 'Wholesaler']",No MISC available,ADVERTISEMENT
Courtney Albertson,-1,5,"Leslie is AMAZING! I participated in one of her Rainbow Shoots. To say that she encompassed my heart & my emotions of it all seems like a huge understatement. I've never felt the ABSOLUTE emotion in a photoshoot before! I mean, I cried -- and she captured it, ALL OF IT. Raw emotion. Love. It was truly breathtaking. I not only have photos of my rainbow babe & I to last a life time, I also bonded with several other Rainbow Mamas & that was incredible in its own right. Leslie is an amazing photographer, with a HUGE heart for her clients! 5 Stars!",Yes,No response available,0,Leslie Carbajal Photography,"['Photographer', 'Service establishment']","{'From the business': ['Identifies as Black-owned', 'Identifies as women-led']}",
Katie,-1,5,"My son started getting into electronic music using garage band and eventually Ableton. After seeing how he enjoyed making music, I scoured the internet looking for a school to teach that type of music and found Mix Major. We are so glad we did! Our son has learned so much and looks forward to class every week. After each class, he excitedly tells us how he has learned something new. Eric does a great job of pointing our son in the right direction to improve his music/project, always in a positive enthusiastic way. Mix Major is the best!",No,"{'time': 1623086208493, 'text': 'Thanks for having your son in our program.  What a talented young man.  Looking forward to helping him develop his skills further!'}",1,Mix Major - Electronic Music School,"['Music school', 'Service establishment']",{'Service options': ['Online classes']},
